Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fecha;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Rendimiento;Precio
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;1/1/2017;112715;0;660;0;112715;171
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;2/1/2017;418049;20107;9990;20050;397942;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;3/1/2017;741792;19313;18275;-7540;722479;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;4/1/2017;1647618;-456;39380;-685;1648074;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;5/1/2017;2437267;96214;59140;-2125;2341053;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;6/1/2017;21909;18404;540;-1755;3505;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;9/1/2017;220693;25639;5080;10220;195054;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;10/1/2017;1270074;-9864;30975;-6460;1279938;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;11/1/2017;323032;11677;7815;-12335;311355;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;12/1/2017;480788;164256;11430;5800;316532;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;13/1/2017;163981;28216;4110;1260;135765;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;16/1/2017;301175;554108;7410;16795;-252933;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;17/1/2017;1136419;197651;27870;9606;938768;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;18/1/2017;474060;664892;11690;25885;-190832;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;19/1/2017;571551;367957;13860;16710;203594;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;20/1/2017;363301;125874;8900;5470;237427;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;23/1/2017;511094;279176;12580;11970;231918;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;24/1/2017;305974;0;7355;0;305974;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;25/1/2017;1296894;179984;31185;6905;1116910;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;26/1/2017;574926;355972;14105;15350;218954;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;27/1/2017;114707;8951;2540;401;105756;45
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;30/1/2017;314316;500519;7590;21810;-186203;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Enero;31/1/2017;534651;1845887;12490;80280;-1311236;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;1/2/2017;795706;21023;19490;900;774683;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;2/2/2017;544428;274724;13500;12670;269704;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;3/2/2017;1444260;0;31945;-120;1444260;45
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;4/2/2017;96105;0;2320;0;96105;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;6/2/2017;950032;205268;23235;9556;744764;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;7/2/2017;387971;20937;9515;890;367034;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;8/2/2017;322912;90042;7850;3286;232870;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;9/2/2017;131627;438594;3150;18395;-306967;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;10/2/2017;535743;109318;13270;4685;426425;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;13/2/2017;413146;432258;9225;17325;-19112;45
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;14/2/2017;1007328;0;24550;-70;1007328;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;15/2/2017;707166;10581;17305;450;696585;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;16/2/2017;59208;657841;1335;28150;-598633;44
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;17/2/2017;192915;199736;4450;8515;-6821;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;20/2/2017;459057;63249;11320;2745;395808;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;21/2/2017;443810;51239;11005;2199;392571;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;22/2/2017;261781;143224;6480;6131;118557;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;23/2/2017;397334;353917;9660;15109;43417;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;24/2/2017;393668;1704522;9365;73210;-1310854;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;25/2/2017;0;589961;0;25340;-589961;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;27/2/2017;0;25874;0;10620;-25874;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Febrero;28/2/2017;25617;31930;150;395;-6313;171
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;1/3/2017;491409;232799;11960;12880;258610;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;2/3/2017;787095;269602;19135;16735;517493;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;3/3/2017;862880;116397;20850;5010;746483;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;4/3/2017;399247;0;9900;0;399247;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;6/3/2017;144867;190821;3460;8945;-45954;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;7/3/2017;1131753;124310;26285;-3943;1007443;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;8/3/2017;569895;186740;13670;7020;383155;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;9/3/2017;1328722;715680;32240;23850;613042;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;10/3/2017;697316;105800;17185;4480;591516;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;13/3/2017;207699;284496;4895;18335;-76797;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;14/3/2017;1097401;348822;26620;14155;748579;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;15/3/2017;635480;26860;15750;-4155;608620;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;16/3/2017;275063;248511;6815;15390;26552;40
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;17/3/2017;345879;-118;8015;-5000;345997;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;20/3/2017;931974;395287;22600;21620;536687;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;21/3/2017;0;2423256;0;99945;-2423256;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;22/3/2017;516955;25613;10695;605;491342;48
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;23/3/2017;310963;614300;7340;26385;-303337;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;27/3/2017;1813985;94097;40785;4035;1719888;44
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;28/3/2017;1280341;219155;31195;11065;1061186;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;29/3/2017;0;33473;0;-130;-33473;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;30/3/2017;336589;270077;7910;11770;66512;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Marzo;31/3/2017;321135;1476742;7695;63670;-1155607;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;1/4/2017;79530;60496;446;722;19034;178
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;3/4/2017;761135;241254;17050;10315;519881;45
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;4/4/2017;628923;279251;14510;12630;349672;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;5/4/2017;512046;-471;12550;-900;512517;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;6/4/2017;399755;373472;8840;15845;26283;45
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;7/4/2017;883661;-685;20915;-30;884346;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;8/4/2017;207156;0;4790;0;207156;43
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;10/4/2017;2441726;295432;60020;12690;2146294;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;11/4/2017;1004025;134404;24265;5498;869621;41
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;12/4/2017;79735;399095;1880;16855;-319360;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;13/4/2017;409745;2513;9850;120;407232;42
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;17/4/2017;0;440718;0;20160;-440718;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2017;Abril;18/4/2017;706231;376185;17215;14655;330046;41
